Song,Tempo,Chroma,MFCC,Chords
Justin Timberlake - Mirrors (Official Audio),[151.99908088],"[0.43305906653404236, 0.36060184240341187, 0.4150432050228119, 0.4684445559978485, 0.4174022674560547, 0.5287516713142395, 0.41757479310035706, 0.48643457889556885, 0.43226495385169983, 0.37604525685310364, 0.420181542634964, 0.38184359669685364]","[-165.59144592285156, 159.03175354003906, -30.83030128479004, 32.44407653808594, -4.948526859283447, 14.8878812789917, -6.155702590942383, 3.059015989303589, 2.169269561767578, 1.4103986024856567, 3.863072633743286, -1.854140043258667, 5.978066444396973]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 4, 5, 6, 7, 8, 11, 0, 1, 7, 1, 2, 5, 2, 4, 5, 4, 6, 7]"
JVKE - golden hour (@shirleysetia Remix) (Indian version),[93.96306818],"[0.29602935910224915, 0.3464406132698059, 0.28231534361839294, 0.4018242061138153, 0.4298778176307678, 0.2870469093322754, 0.3166991174221039, 0.31527137756347656, 0.5460442900657654, 0.3656337559223175, 0.29682308435440063, 0.3879844546318054]","[-186.17340087890625, 164.492431640625, -13.427014350891113, 13.229789733886719, -10.053332328796387, 4.742408752441406, -14.305621147155762, 1.5103614330291748, -3.054342269897461, -4.874131679534912, 2.244948148727417, 1.6358762979507446, -0.1458776742219925]","[0, 10, 11, 3, 4, 5, 4, 5, 6, 3, 4, 5, 4, 5, 6, 3, 4, 5, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6]"
JVKE - This is What Falling in Love Feels Like [Official Lyric Video],[129.19921875],"[0.33021172881126404, 0.39421364665031433, 0.337405264377594, 0.472331166267395, 0.4068928360939026, 0.3041650652885437, 0.42052575945854187, 0.33429399132728577, 0.27957746386528015, 0.2501899003982544, 0.31827497482299805, 0.3660312294960022]","[-153.4053955078125, 123.4274673461914, -20.147193908691406, 20.487342834472656, -11.318001747131348, 12.280102729797363, -17.737266540527344, 3.6700143814086914, -14.408422470092773, -1.282382845878601, -5.368929386138916, -0.5397132635116577, 3.417837381362915]","[6, 7, 8, 4, 5, 6, 9, 10, 11, 5, 9, 10, 8, 9, 10, 9, 10, 11, 2, 5, 10, 8, 9, 10, 8, 9, 10, 0, 1, 11]"
K-391 & Alan Walker - Ignite feat. Julie Bergan & Seungri (Lyric Video),[90.66611842],"[0.3889181911945343, 0.3463730812072754, 0.37190476059913635, 0.48384273052215576, 0.39657148718833923, 0.36942756175994873, 0.4111343324184418, 0.3833412528038025, 0.5364672541618347, 0.4037611484527588, 0.4884833097457886, 0.5145024061203003]","[-118.3971176147461, 108.37813568115234, -31.84938621520996, 41.981143951416016, -21.91119956970215, 29.379053115844727, -13.372361183166504, 15.92074966430664, -3.4909422397613525, 10.821625709533691, 2.318636655807495, 6.17490291595459, 1.6035895347595215]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
"K-391 - Ignite (feat. Alan Walker, Julie Bergan & Seungri) [Audio]",[90.66611842],"[0.41463953256607056, 0.3689812123775482, 0.39640098810195923, 0.5168764591217041, 0.42176952958106995, 0.39384907484054565, 0.43922555446624756, 0.409588098526001, 0.5766842365264893, 0.43232038617134094, 0.5232263803482056, 0.5511648058891296]","[-103.4784927368164, 120.60118103027344, -36.581077575683594, 45.2049446105957, -22.505693435668945, 30.110183715820312, -12.776603698730469, 15.316503524780273, -2.133270502090454, 10.150029182434082, 3.7194948196411133, 5.534429550170898, 2.5446860790252686]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Kali Uchis - Moonlight (Official Lyric Video),[139.67483108],"[0.3330802023410797, 0.4087221920490265, 0.6267679929733276, 0.4217538833618164, 0.2799411118030548, 0.2731950283050537, 0.2940773367881775, 0.35082828998565674, 0.3241179287433624, 0.46814680099487305, 0.4081651568412781, 0.2856068015098572]","[-111.10699462890625, 126.37816619873047, -18.504581451416016, 47.29778289794922, -21.363895416259766, 24.956655502319336, -19.433765411376953, 4.058740615844727, -11.233827590942383, 3.5877301692962646, -9.836274147033691, 3.667661428451538, -4.407905578613281]","[4, 9, 10, 2, 3, 4, 6, 7, 8, 6, 7, 8, 6, 7, 8, 0, 6, 7, 0, 6, 7, 5, 6, 7, 0, 6, 11, 0, 7, 11]"
Kali Uchis – telepatía [Official Audio],[166.70866935],"[0.4571514129638672, 0.48153960704803467, 0.5098466873168945, 0.4691976308822632, 0.48163041472435, 0.5026906132698059, 0.6818610429763794, 0.47939902544021606, 0.39942654967308044, 0.4873568117618561, 0.4783909320831299, 0.5045459866523743]","[-165.8870086669922, 138.3624267578125, -6.912473201751709, 38.1770133972168, -2.8277461528778076, 20.87221908569336, -9.185816764831543, 4.588199138641357, -1.9752267599105835, 3.9129748344421387, 5.25146484375, 7.187209129333496, 1.0198042392730713]","[0, 1, 4, 0, 1, 4, 4, 5, 6, 0, 5, 7, 9, 10, 11, 5, 6, 7, 4, 5, 6, 3, 4, 5, 3, 4, 5, 3, 4, 5]"
Katy Perry - Harleys In Hawaii (Official Audio),[139.67483108],"[0.528316080570221, 0.5395308136940002, 0.4667513966560364, 0.4567774832248688, 0.4289684593677521, 0.5007795095443726, 0.43559131026268005, 0.40799200534820557, 0.39121150970458984, 0.39594894647598267, 0.5312032103538513, 0.4556039571762085]","[-156.53932189941406, 139.38198852539062, -8.887521743774414, 40.164695739746094, -6.663422107696533, 27.583240509033203, -13.040313720703125, 10.910246849060059, 0.806887149810791, -0.23715752363204956, 2.943892002105713, 2.7409677505493164, -2.3510730266571045]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Kenndog - Beethoven (feat. YN Jay) [Official Audio],[103.359375],"[0.6081590056419373, 0.5934407711029053, 0.60829097032547, 0.5935122966766357, 0.6046579480171204, 0.5111128091812134, 0.45806869864463806, 0.46047282218933105, 0.4329823851585388, 0.45916274189949036, 0.476809561252594, 0.5440952777862549]","[-170.3011474609375, 134.9294891357422, -9.294852256774902, 26.4564208984375, -4.8257832527160645, 23.44717025756836, -5.56021785736084, 3.2643284797668457, 0.5063285231590271, 5.335113525390625, -7.206756591796875, 5.77831506729126, 6.819203853607178]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 2, 9, 10, 5, 6, 7, 2, 4, 5, 2, 5, 6, 3, 4, 5, 3, 4, 5]"
"Kevvu Keka Full Video Song ｜Gabbar Singh｜｜ Pawan kalyan,DSP Hits ｜ Aditya Music",[84.72079918],"[0.3687148988246918, 0.38549113273620605, 0.47540220618247986, 0.4222283661365509, 0.4023682475090027, 0.42969730496406555, 0.4117192327976227, 0.5286494493484497, 0.45226868987083435, 0.5136780738830566, 0.4056365489959717, 0.3523600399494171]","[-83.19115447998047, 136.9171142578125, -27.47405433654785, 39.345123291015625, -11.48648452758789, 22.893465042114258, -13.874847412109375, 19.987552642822266, -1.7918353080749512, 3.524047374725342, -1.4987598657608032, 6.904263019561768, -1.6017717123031616]","[9, 10, 11, 0, 1, 11, 6, 7, 8, 0, 6, 7, 0, 8, 9, 1, 3, 8, 0, 3, 5, 4, 5, 8, 4, 5, 6, 0, 10, 11]"
Kxllswxtch - WASTE [Official Video],[132.51201923],"[0.5204597115516663, 0.40636464953422546, 0.32547786831855774, 0.29777637124061584, 0.3395848870277405, 0.45698246359825134, 0.6874390840530396, 0.6829744577407837, 0.4797370731830597, 0.4222564697265625, 0.4655956029891968, 0.5179271697998047]","[-251.09226989746094, 124.84748077392578, 20.14838218688965, 27.140384674072266, 1.626517415046692, 25.005340576171875, -5.386292934417725, 13.345894813537598, -1.035703420639038, -2.109546422958374, -5.364311695098877, -3.613926649093628, -8.534069061279297]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 2, 10, 11, 2, 7, 8, 0, 1, 2, 0, 1, 2]"
Kyoran Hey Kids!!,[143.5546875],"[0.5245858430862427, 0.3998979330062866, 0.45277169346809387, 0.4807272255420685, 0.40604719519615173, 0.3704923987388611, 0.3935605585575104, 0.5256664156913757, 0.4106445908546448, 0.40308815240859985, 0.4604648947715759, 0.42762669920921326]","[-39.52616500854492, 137.14981079101562, -63.003726959228516, 44.95977020263672, -12.08924388885498, 32.04296875, -14.6636962890625, 18.858312606811523, -4.954881191253662, 15.19395637512207, -1.7239893674850464, 5.035305023193359, 1.7216287851333618]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Lady Gaga - Poker Face (Audio),[120.18531977],"[0.45847514271736145, 0.46164458990097046, 0.4832274913787842, 0.5346162915229797, 0.4862455725669861, 0.49383077025413513, 0.565738320350647, 0.45996758341789246, 0.49299174547195435, 0.4894644618034363, 0.5411314964294434, 0.5217727422714233]","[-95.54800415039062, 140.65530395507812, -29.599693298339844, 42.75176239013672, -13.78357219696045, 27.774248123168945, -13.329559326171875, 23.036630630493164, -3.5196919441223145, 10.860880851745605, 1.4074255228042603, 6.983832836151123, 2.0730488300323486]","[9, 10, 11, 9, 10, 11, 6, 7, 8, 0, 1, 7, 3, 6, 7, 6, 7, 8, 3, 8, 9, 3, 6, 9, 3, 6, 8, 2, 3, 6]"
"Lady Gaga, Bruno Mars - Die With A Smile (Official Audio)",[156.60511364],"[0.3193238079547882, 0.4870409071445465, 0.3426848351955414, 0.3540964126586914, 0.37786155939102173, 0.29509836435317993, 0.4020283818244934, 0.3091388940811157, 0.4658803343772888, 0.4094681441783905, 0.288196861743927, 0.33192020654678345]","[-153.25393676757812, 146.32598876953125, -28.862247467041016, 24.824893951416016, -18.50724983215332, 15.142692565917969, -14.935047149658203, 6.669698238372803, -5.673464775085449, 0.9399043321609497, -0.632640540599823, 3.7292912006378174, 4.097790241241455]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",[156.60511364],"[0.31896674633026123, 0.4864600598812103, 0.34230974316596985, 0.35376498103141785, 0.3778345286846161, 0.2949909269809723, 0.40181243419647217, 0.30909663438796997, 0.4656715393066406, 0.4093828797340393, 0.2881287932395935, 0.3315805196762085]","[-153.37307739257812, 146.42311096191406, -29.462047576904297, 25.119691848754883, -18.6142520904541, 15.038058280944824, -14.675506591796875, 6.3052754402160645, -5.261490345001221, 0.5313979387283325, -0.24978521466255188, 3.387908458709717, 4.31281042098999]","[9, 10, 11, 9, 10, 11, 6, 9, 10, 0, 1, 11, 0, 1, 10, 8, 9, 10, 7, 8, 9, 7, 8, 9, 2, 3, 8, 2, 3, 8]"
Lai Lai Lai By Realkdmusic ( Music - Topic ),[93.96306818],"[0.4889245927333832, 0.5442644953727722, 0.6928386092185974, 0.6072093844413757, 0.6052722334861755, 0.47888433933258057, 0.3983379304409027, 0.4478999674320221, 0.456815242767334, 0.5214645862579346, 0.5272338390350342, 0.49026498198509216]","[-135.5217742919922, 144.29710388183594, -29.327014923095703, 57.67876434326172, 9.861867904663086, 6.628530979156494, 1.0402040481567383, 5.957688331604004, 3.9079620838165283, 7.899871826171875, 2.4984540939331055, -1.470848798751831, 4.2734904289245605]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 5, 6, 10]"
Lana Del Rey - Summertime Sadness (Lyrics),[112.34714674],"[0.4809519648551941, 0.6051419377326965, 0.4451981484889984, 0.45812609791755676, 0.4587318003177643, 0.37543976306915283, 0.4373902976512909, 0.38727396726608276, 0.4543074667453766, 0.3778321444988251, 0.39632877707481384, 0.4909110367298126]","[-135.80062866210938, 165.82176208496094, -30.223787307739258, 35.803428649902344, -13.006978034973145, 14.62211799621582, -7.759037017822266, 14.210474967956543, -3.289557695388794, 4.928678035736084, 6.285621166229248, -2.014058828353882, 7.179956912994385]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Last Christmas (Remastered),[106.13207547],"[0.40319064259529114, 0.48714959621429443, 0.49040117859840393, 0.3549705743789673, 0.38173550367355347, 0.31545665860176086, 0.379912793636322, 0.3379427492618561, 0.37209177017211914, 0.5133329033851624, 0.4556097686290741, 0.5102497935295105]","[-123.2584457397461, 128.2828826904297, -24.078813552856445, 49.385833740234375, -20.250391006469727, 25.290557861328125, -13.989537239074707, 12.411304473876953, -2.4348533153533936, 4.4173970222473145, -4.005910396575928, 1.2574243545532227, -2.457554340362549]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Last Piece,[93.96306818],"[0.4526333510875702, 0.5605521202087402, 0.6212065815925598, 0.48292404413223267, 0.49029526114463806, 0.41692617535591125, 0.48097407817840576, 0.4156673848628998, 0.38176214694976807, 0.4403405487537384, 0.41308489441871643, 0.4568031430244446]","[-178.9906005859375, 142.1027069091797, -7.67808723449707, 28.41518783569336, -0.7557962536811829, 16.453508377075195, -11.934995651245117, 11.827302932739258, 3.438581943511963, 4.2164106369018555, 5.639351844787598, 9.80999755859375, -1.7589316368103027]","[3, 4, 5, 2, 4, 5, 2, 4, 5, 2, 3, 4, 2, 3, 4, 2, 3, 4, 2, 3, 4, 1, 2, 3, 1, 2, 3, 1, 2, 3]"
Laufey - Falling Behind (Official Audio),[109.95678191],"[0.4870246946811676, 0.41414782404899597, 0.4001246988773346, 0.39909565448760986, 0.40523841977119446, 0.3844028413295746, 0.3900306820869446, 0.43768176436424255, 0.4402237832546234, 0.49501103162765503, 0.5068981647491455, 0.5037450194358826]","[-254.67596435546875, 173.35401916503906, 29.901002883911133, 32.62342071533203, 12.440512657165527, 24.349266052246094, 6.462711811065674, 9.647644996643066, 4.6022467613220215, -7.865128040313721, -2.322061777114868, 5.193967819213867, -6.516343116760254]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 1, 6, 7, 0, 1, 11, 0, 10, 11, 4, 10, 11]"
Laufey - From The Start (Official Audio),[109.95678191],"[0.3572342097759247, 0.3644087314605713, 0.3444751799106598, 0.3742082715034485, 0.38649454712867737, 0.4592049717903137, 0.38590410351753235, 0.319985568523407, 0.36160001158714294, 0.35915619134902954, 0.3548402786254883, 0.31537142395973206]","[-164.17242431640625, 155.14913940429688, 3.6592488288879395, 42.22821807861328, -3.1760711669921875, 26.559059143066406, -3.4284863471984863, 12.413674354553223, 0.5233635902404785, -3.339634656906128, -4.691401481628418, 3.774744749069214, -3.641220808029175]","[9, 10, 11, 9, 10, 11, 0, 9, 10, 0, 1, 2, 3, 5, 6, 1, 3, 4, 1, 3, 4, 1, 4, 10, 1, 10, 11, 0, 10, 11]"
Leave Me Alone,[89.10290948],"[0.4663258492946625, 0.47153252363204956, 0.5133557915687561, 0.6062466502189636, 0.5479859709739685, 0.5401086211204529, 0.5473580956459045, 0.5250619053840637, 0.5966067314147949, 0.4911021888256073, 0.5291921496391296, 0.49984997510910034]","[-197.52334594726562, 139.8424530029297, 7.526721000671387, 45.44717025756836, -7.283321857452393, 39.76822280883789, -5.8481011390686035, 17.0163631439209, -1.4527119398117065, -0.6319753527641296, 3.4578986167907715, 2.9344730377197266, -0.26480409502983093]","[1, 2, 3, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 1, 2, 3, 0, 10, 11]"
Let It Play,[99.38401442],"[0.4744514226913452, 0.480864018201828, 0.5615664124488831, 0.5218915939331055, 0.6214261651039124, 0.6509758830070496, 0.479894757270813, 0.4163183867931366, 0.4735249876976013, 0.6000676155090332, 0.42914360761642456, 0.41968512535095215]","[-252.45883178710938, 136.9242706298828, -14.628138542175293, 24.50062370300293, -3.0820672512054443, 6.536459445953369, -9.620439529418945, -3.4550888538360596, -4.94634485244751, -2.9496960639953613, -8.474504470825195, -3.010831594467163, 4.230303764343262]","[5, 9, 10, 3, 4, 5, 3, 4, 5, 0, 9, 10, 3, 4, 5, 4, 5, 6, 4, 5, 6, 4, 5, 6, 3, 4, 5, 3, 4, 5]"
Light Switch,[92.28515625],"[0.4535153806209564, 0.5052557587623596, 0.4436148405075073, 0.465312123298645, 0.42311832308769226, 0.5299522876739502, 0.5696333050727844, 0.452593594789505, 0.5055521130561829, 0.4490985572338104, 0.5074293613433838, 0.4453108608722687]","[-133.62367248535156, 137.37738037109375, -12.58935260772705, 38.3531608581543, -2.285146713256836, 19.51490592956543, -8.658699989318848, 15.030888557434082, -5.999476909637451, -0.0878496989607811, 0.7580482363700867, 1.1177552938461304, 4.564521312713623]","[2, 6, 7, 5, 6, 7, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 7, 8, 9, 6, 7, 8, 6, 7, 8, 5, 6, 7]"
"Lil Tjay - Run It Up (Official Audio) ft. Offset, Moneybagg Yo",[120.18531977],"[0.3226281404495239, 0.32020115852355957, 0.38422471284866333, 0.49801382422447205, 0.373721718788147, 0.4093204438686371, 0.41583356261253357, 0.3694276511669159, 0.4231482446193695, 0.38602757453918457, 0.4485805630683899, 0.37486639618873596]","[-148.6845703125, 122.24774932861328, 0.009416855871677399, 38.323299407958984, -18.507171630859375, 24.622159957885742, -22.45623779296875, 9.794970512390137, -4.474161148071289, -8.31440544128418, -4.283142566680908, 5.285789966583252, 2.0633764266967773]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Lindsey Stirling - Carol of the Bells,[112.34714674],"[0.3132376968860626, 0.22067752480506897, 0.2111682891845703, 0.28986236453056335, 0.4476344883441925, 0.2690589427947998, 0.355342835187912, 0.47234660387039185, 0.29661935567855835, 0.33189624547958374, 0.3016103506088257, 0.5397056937217712]","[-147.47589111328125, 141.3691864013672, -22.435489654541016, 31.20963478088379, -15.483920097351074, 14.630454063415527, -19.148380279541016, 12.512185096740723, -5.328542232513428, 10.980928421020508, 2.6193418502807617, 6.419995307922363, -2.1366212368011475]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
LISA - MONEY [Audio],[139.67483108],"[0.396689772605896, 0.4071934223175049, 0.44551509618759155, 0.4337262511253357, 0.49044352769851685, 0.4505160450935364, 0.4910847246646881, 0.5008898973464966, 0.42306211590766907, 0.42935580015182495, 0.4049103856086731, 0.46011683344841003]","[-192.21270751953125, 93.30363464355469, -44.34414291381836, 30.813575744628906, -18.188936233520508, 11.685196876525879, -11.082950592041016, 8.237235069274902, -8.714912414550781, 3.9056756496429443, 3.3067145347595215, -0.9851045608520508, 5.483340740203857]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Lose Yourself (From ＂8 Mile＂ Soundtrack),[172.265625],"[0.5548482537269592, 0.6024088263511658, 0.6926700472831726, 0.582414984703064, 0.5761511921882629, 0.53239506483078, 0.44413766264915466, 0.4248978793621063, 0.45898953080177307, 0.5384153723716736, 0.5193489193916321, 0.5093919634819031]","[-137.80335998535156, 143.77902221679688, -27.27655601501465, 38.44700241088867, 2.4193878173828125, 24.90022850036621, -6.923278331756592, 11.385519981384277, 8.959173202514648, 3.9005918502807617, 2.080703020095825, 4.478612422943115, 4.943960189819336]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Lucid Dreams,[112.5],"[0.47295597195625305, 0.5572157502174377, 0.47797706723213196, 0.4582670032978058, 0.49372220039367676, 0.5060983300209045, 0.5391755104064941, 0.45279544591903687, 0.546110987663269, 0.5900596380233765, 0.5054643750190735, 0.49624884128570557]","[-138.8433380126953, 132.5501251220703, -7.4827399253845215, 48.89287567138672, 2.6124467849731445, 33.324256896972656, -7.658177375793457, 10.500000953674316, 4.077388763427734, 0.03538466617465019, -4.670757293701172, 3.3272929191589355, 0.3935720920562744]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 1, 4, 10, 0, 1, 11, 0, 1, 11, 0, 1, 11, 1, 4, 5, 1, 5, 11]"
Lukas Graham - All Of It All (Official Music Video),[99.38401442],"[0.4792681634426117, 0.5152750611305237, 0.42125046253204346, 0.43026915192604065, 0.484906405210495, 0.468443363904953, 0.46589532494544983, 0.42936110496520996, 0.48010551929473877, 0.4965820610523224, 0.4586144685745239, 0.4843853712081909]","[-151.016357421875, 129.05430603027344, -15.81491470336914, 45.505592346191406, -8.305910110473633, 30.842426300048828, 4.286375045776367, 17.4212703704834, 7.655818462371826, 4.586016654968262, 1.0385571718215942, 1.2090932130813599, 3.421704053878784]","[1, 2, 3, 0, 6, 7, 6, 7, 8, 0, 5, 6, 5, 8, 9, 8, 9, 10, 4, 9, 10, 4, 5, 9, 3, 4, 5, 0, 1, 3]"
LYRICS VIDEO ｜ NF - HOPE,[132.51201923],"[0.3838179409503937, 0.40894874930381775, 0.4843403995037079, 0.49480804800987244, 0.43894246220588684, 0.44914641976356506, 0.4399070143699646, 0.4167863726615906, 0.44194135069847107, 0.4869765043258667, 0.5236225128173828, 0.4123719334602356]","[-112.21006774902344, 130.33062744140625, -14.166129112243652, 32.755889892578125, -11.635897636413574, 30.322574615478516, -21.422271728515625, 13.694290161132812, -5.388310432434082, 1.8515338897705078, -4.658788204193115, 4.170834064483643, -2.51792049407959]","[1, 2, 3, 3, 4, 5, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6]"
"Maari - Don’u Don’u Don’u Lyric ｜ Dhanush, Kajal ｜ Anirudh",[90.66611842],"[0.3578184247016907, 0.3741813004016876, 0.37774762511253357, 0.45913296937942505, 0.41879841685295105, 0.4316551387310028, 0.48786991834640503, 0.4786604642868042, 0.6001063585281372, 0.4808013439178467, 0.4807402491569519, 0.4175224304199219]","[-132.05767822265625, 147.5624542236328, -28.530025482177734, 38.79759216308594, -7.246512413024902, 21.36779022216797, -15.407772064208984, 15.264472961425781, -4.165063858032227, 3.47172212600708, -0.1959298700094223, 5.391910552978516, 3.902329683303833]","[9, 10, 11, 9, 10, 11, 4, 5, 6, 4, 5, 6, 4, 5, 6, 7, 8, 9, 5, 8, 9, 5, 6, 7, 4, 5, 7, 4, 5, 7]"
Mama Said Lukas Graham (Audio),[83.35433468],"[0.5446571111679077, 0.5162512063980103, 0.5482133030891418, 0.5366548299789429, 0.5443744659423828, 0.6663336753845215, 0.6105024218559265, 0.5534217953681946, 0.54542475938797, 0.5859431028366089, 0.6358248591423035, 0.5642270445823669]","[-122.9382553100586, 115.43001556396484, -6.419366836547852, 49.517879486083984, -8.196481704711914, 38.25893020629883, -2.8648288249969482, 24.853397369384766, -2.8143868446350098, 13.7279691696167, 1.642717957496643, 8.28883171081543, 4.122310638427734]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Maneskin-Beggin' (CD Audio),[132.51201923],"[0.45306307077407837, 0.48416751623153687, 0.4499003291130066, 0.40409088134765625, 0.42683088779449463, 0.4266042411327362, 0.43956997990608215, 0.39255350828170776, 0.40442827343940735, 0.40574195981025696, 0.4539986550807953, 0.5058250427246094]","[-120.9522933959961, 125.56153869628906, -27.93336296081543, 44.81732177734375, 2.168950080871582, 25.156219482421875, -18.860321044921875, 18.181665420532227, -8.557209968566895, 5.062739372253418, -1.4768651723861694, 2.2706642150878906, -0.5695654153823853]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Manu Chao - Me Gustas Tu (Official Audio),[87.59269068],"[0.4184255301952362, 0.3853112757205963, 0.39213162660598755, 0.35780978202819824, 0.41681742668151855, 0.4139425754547119, 0.49289894104003906, 0.3914390206336975, 0.3578076660633087, 0.3607606589794159, 0.44606533646583557, 0.6755566596984863]","[-189.8726348876953, 168.0781707763672, -16.533336639404297, 19.736818313598633, -5.969956874847412, 24.511045455932617, -2.7047460079193115, 9.146637916564941, -5.805966854095459, -4.757791519165039, -2.8023409843444824, -0.8396130800247192, -2.1226794719696045]","[9, 10, 11, 9, 10, 11, 0, 1, 11, 0, 1, 11, 0, 2, 11, 0, 1, 11, 0, 10, 11, 0, 10, 11, 0, 10, 11, 0, 10, 11]"
Mark Ronson & Miley Cyrus - Nothing Breaks Like a Heart (Audio),[114.84375],"[0.44598281383514404, 0.4236082434654236, 0.5156188011169434, 0.4696284234523773, 0.43141889572143555, 0.47611168026924133, 0.45774561166763306, 0.5970361232757568, 0.514967679977417, 0.5047408938407898, 0.5147110223770142, 0.4447689354419708]","[-105.1152572631836, 142.28244018554688, -23.517778396606445, 45.756866455078125, -14.867889404296875, 26.725448608398438, -10.710299491882324, 12.802983283996582, -2.5909464359283447, 5.335381031036377, 4.393693923950195, 3.7468416690826416, 4.004471778869629]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Maroon 5 - Beautiful Mistakes ft. Megan Thee Stallion (Official Lyric Video),[99.38401442],"[0.5071598291397095, 0.4605751037597656, 0.531103253364563, 0.4289594292640686, 0.39980149269104004, 0.4701184332370758, 0.40749281644821167, 0.4377819895744324, 0.4065060615539551, 0.48215460777282715, 0.53019779920578, 0.4565166234970093]","[-106.5027847290039, 124.11334991455078, -15.706245422363281, 49.36201477050781, -18.854351043701172, 27.582134246826172, -4.047247409820557, 6.288883209228516, -4.0550408363342285, 5.959023475646973, -5.856093406677246, 0.05281510576605797, 2.0813658237457275]","[0, 1, 8, 1, 10, 11, 8, 9, 10, 8, 9, 10, 8, 9, 10, 9, 10, 11, 5, 6, 10, 4, 5, 6, 2, 3, 7, 4, 5, 6]"
Maroon 5 - Cold ft. Future (Audio),[132.51201923],"[0.5696325898170471, 0.5081223845481873, 0.5949184894561768, 0.47709038853645325, 0.45407426357269287, 0.36116907000541687, 0.32862624526023865, 0.3693697154521942, 0.3765445351600647, 0.482987642288208, 0.42148056626319885, 0.5018240809440613]","[-142.45864868164062, 148.1851806640625, -14.340519905090332, 46.54914474487305, -14.089770317077637, 25.818296432495117, 2.480854034423828, 12.373635292053223, 1.4940813779830933, 7.890097618103027, 1.9386922121047974, 2.3699965476989746, 5.10633659362793]","[1, 10, 11, 1, 9, 10, 0, 1, 11, 0, 5, 11, 0, 5, 6, 0, 1, 11, 0, 1, 11, 0, 4, 5, 4, 5, 6, 0, 4, 5]"
